,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",335.92%,6.19,44966536,609.20K
1,2,TOPW,Top Win International Limited,230.00%,13.2,1904243,328.20M
2,3,IBG,Innovation Beverage Group Limited,133.36%,1.15,197511490,9.59M
3,4,SPWH,"Sportsman's Warehouse Holdings, Inc.",98.96%,1.92,92872421,72.88M
4,5,APVO,Aptevo Therapeutics Inc.,87.36%,1.87,275890,2.73M
5,6,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
6,7,DGLY,"Digital Ally, Inc.",81.92%,0.0473,1143270121,3.75M
7,8,CNTM,"ConnectM Technology Solutions, Inc.",61.64%,0.8,136788414,16.90M
8,9,TTEC,"TTEC Holdings, Inc.",61.47%,5.28,14515394,252.16M
9,10,ALLK,Allakos Inc.,47.88%,0.321,17955290,28.67M
10,11,GNPX,"Genprex, Inc.",44.72%,0.333,23921576,2.83M
11,12,TCRT,"Alaunos Therapeutics, Inc.",39.81%,3.02,12398138,4.84M
12,13,VMAR,Vision Marine Technologies Inc.,34.28%,5.9,1760117,5.77M
13,14,SCLX,Scilex Holding Company,32.46%,0.315,2324242,57.65M
14,15,XHLD,"TEN Holdings, Inc.",31.55%,1.03,4354044,29.55M
15,16,SBEV,"Splash Beverage Group, Inc.",30.35%,1.92,13787,2.96M
16,17,ALMS,Alumis Inc.,30.32%,9.44,2316968,513.33M
17,18,ICON,Icon Energy Corp.,26.54%,2.265,1189358,1.64M
18,19,QNRX,"Quoin Pharmaceuticals, Ltd.",25.24%,0.265,199934765,5.46M
19,20,BHAT,Blue Hat Interactive Entertainment Technology,23.53%,2.1,505892,10.37M
