,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,IBG,Innovation Beverage Group Limited,247.33%,1.72,118615373,14.35M
1,2,CNTM,"ConnectM Technology Solutions, Inc.",168.69%,1.33,74156645,28.09M
2,3,DGLY,"Digital Ally, Inc.",152.69%,0.0657,579343950,5.21M
3,4,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
4,5,QNRX,"Quoin Pharmaceuticals, Ltd.",57.66%,0.334,123004951,6.87M
5,6,SBFM,"Sunshine Biopharma, Inc.",50.48%,3.13,45104550,6.26M
6,7,SPWH,"Sportsman's Warehouse Holdings, Inc.",50.25%,1.45,20834341,55.03M
7,8,ALLK,Allakos Inc.,45.67%,0.316,6985108,28.24M
8,9,TTEC,"TTEC Holdings, Inc.",40.98%,4.61,3009770,220.16M
9,10,FAAS,DigiAsia Corp.,29.27%,0.299,429464,17.51M
10,11,BW,"Babcock & Wilcox Enterprises, Inc.",24.56%,0.57,571751,53.77M
11,12,DMN,Damon Inc.,22.50%,0.0147,297919308,2.33M
12,13,AGMH,AGM Group Holdings Inc.,21.90%,0.0526,66962272,1.28M
13,14,CGNT,Cognyte Software Ltd.,21.29%,9.97,629529,717.84M
14,15,PLAG,Planet Green Holdings Corp.,21.14%,1.49,78100,10.85M
15,16,CRVO,CervoMed Inc.,21.08%,12.08,662529,105.16M
16,17,HEPA,"Hepion Pharmaceuticals, Inc.",19.84%,0.581,8189447,123.44K
17,18,GRI,"GRI Bio, Inc.",19.80%,2.42,1315606,1.27M
18,19,YOSH,Yoshiharu Global Co.,19.11%,17.5,10651,25.06M
19,20,ONFO,"Onfolio Holdings, Inc.",17.65%,0.8,34045,4.10M
