,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",343.66%,6.3,75822847,620.02K
1,2,IBG,Innovation Beverage Group Limited,155.68%,1.26,215728988,10.51M
2,3,SPWH,"Sportsman's Warehouse Holdings, Inc.",95.97%,1.891,104093887,72.06M
3,4,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
4,5,TTEC,"TTEC Holdings, Inc.",52.35%,4.982,16981705,237.93M
5,6,CNTM,"ConnectM Technology Solutions, Inc.",51.17%,0.748,142899906,15.81M
6,7,ALLK,Allakos Inc.,47.79%,0.321,22684083,28.65M
7,8,GNPX,"Genprex, Inc.",46.50%,0.337,26046429,2.87M
8,9,XHLD,"TEN Holdings, Inc.",40.49%,1.1,5127606,31.56M
9,10,APVO,Aptevo Therapeutics Inc.,36.26%,1.36,21785657,1.98M
10,11,CRVO,CervoMed Inc.,35.92%,13.57,2857693,118.05M
11,12,ALMS,Alumis Inc.,35.77%,9.83,2752741,534.82M
12,13,QNRX,"Quoin Pharmaceuticals, Ltd.",35.26%,0.286,207034779,5.89M
13,14,ONFO,"Onfolio Holdings, Inc.",34.41%,0.914,281119,4.69M
14,15,TIVC,"Tivic Health Systems, Inc.",31.35%,3.31,961368,2.05M
15,16,MSPR,"MSP Recovery, Inc.",28.69%,1.57,134272,11.11M
16,17,BDRX,Biodexa Pharmaceuticals Plc,28.33%,1.54,866796,1.03M
17,18,ANY,Sphere 3D Corp.,27.91%,0.55,681679,11.68M
18,19,DGLY,"Digital Ally, Inc.",26.92%,0.033,1211258874,2.62M
19,20,TCRT,"Alaunos Therapeutics, Inc.",26.68%,2.736,13605240,4.38M
