,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",342.96%,6.29,75826175,619.04K
1,2,IBG,Innovation Beverage Group Limited,153.65%,1.25,215771141,10.43M
2,3,SPWH,"Sportsman's Warehouse Holdings, Inc.",97.93%,1.91,104461177,72.78M
3,4,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
4,5,TTEC,"TTEC Holdings, Inc.",52.60%,4.99,17083927,238.31M
5,6,CNTM,"ConnectM Technology Solutions, Inc.",51.17%,0.748,142987077,15.81M
6,7,ALLK,Allakos Inc.,48.06%,0.321,22709563,28.71M
7,8,XHLD,"TEN Holdings, Inc.",40.49%,1.1,5142271,31.56M
8,9,APVO,Aptevo Therapeutics Inc.,38.26%,1.38,21787039,2.01M
9,10,QNRX,"Quoin Pharmaceuticals, Ltd.",38.23%,0.293,207310855,6.02M
10,11,ONFO,"Onfolio Holdings, Inc.",36.18%,0.926,282566,4.75M
11,12,CRVO,CervoMed Inc.,36.07%,13.58,2882709,118.18M
12,13,ALMS,Alumis Inc.,35.91%,9.84,2769049,535.37M
13,14,TCRT,"Alaunos Therapeutics, Inc.",29.63%,2.8,13627878,4.48M
14,15,TIVC,"Tivic Health Systems, Inc.",28.97%,3.25,961814,2.02M
15,16,MSPR,"MSP Recovery, Inc.",28.69%,1.57,135506,11.11M
16,17,BDRX,Biodexa Pharmaceuticals Plc,28.33%,1.54,868575,1.03M
17,18,GNPX,"Genprex, Inc.",28.21%,0.295,35701027,2.51M
18,19,ANY,Sphere 3D Corp.,27.91%,0.55,686296,11.68M
19,20,DGLY,"Digital Ally, Inc.",26.92%,0.033,1215466295,2.62M
