,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",395.06%,7.03,70149585,691.86K
1,2,IBG,Innovation Beverage Group Limited,157.71%,1.27,211381240,10.59M
2,3,SPWH,"Sportsman's Warehouse Holdings, Inc.",106.74%,1.995,101274394,76.02M
3,4,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
4,5,APVO,Aptevo Therapeutics Inc.,79.34%,1.79,20754592,2.61M
5,6,CNTM,"ConnectM Technology Solutions, Inc.",55.17%,0.768,141657987,16.23M
6,7,DGLY,"Digital Ally, Inc.",53.46%,0.0399,1183575728,3.16M
7,8,TTEC,"TTEC Holdings, Inc.",53.36%,5.02,16393676,239.51M
8,9,ALLK,Allakos Inc.,48.29%,0.322,20702339,28.75M
9,10,XHLD,"TEN Holdings, Inc.",40.50%,1.1,4896657,31.57M
10,11,CRVO,CervoMed Inc.,35.02%,13.48,2589448,117.27M
11,12,TIVC,"Tivic Health Systems, Inc.",34.13%,3.38,917331,2.10M
12,13,TCRT,"Alaunos Therapeutics, Inc.",32.87%,2.87,13405678,4.60M
13,14,QNRX,"Quoin Pharmaceuticals, Ltd.",31.38%,0.278,204738843,5.72M
14,15,ALMS,Alumis Inc.,29.49%,9.38,2677502,510.07M
15,16,SCLX,Scilex Holding Company,27.12%,0.302,3059421,55.32M
16,17,GNPX,"Genprex, Inc.",27.08%,0.292,25580957,2.49M
17,18,ICON,Icon Energy Corp.,25.70%,2.25,1304562,1.62M
18,19,BHAT,Blue Hat Interactive Entertainment Technology,25.59%,2.135,648027,10.54M
19,20,MSPR,"MSP Recovery, Inc.",24.96%,1.525,117382,10.79M
