,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",395.76%,7.04,62906483,692.83K
1,2,IBG,Innovation Beverage Group Limited,136.40%,1.165,204517603,9.72M
2,3,SPWH,"Sportsman's Warehouse Holdings, Inc.",104.22%,1.971,98983420,75.09M
3,4,APVO,Aptevo Therapeutics Inc.,88.36%,1.88,19345922,2.74M
4,5,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
5,6,DGLY,"Digital Ally, Inc.",60.77%,0.0418,1172823871,3.31M
6,7,TTEC,"TTEC Holdings, Inc.",55.50%,5.09,15886703,242.85M
7,8,CNTM,"ConnectM Technology Solutions, Inc.",53.13%,0.758,140205135,16.01M
8,9,ALLK,Allakos Inc.,48.11%,0.321,19373319,28.72M
9,10,TOPW,Top Win International Limited,41.00%,5.64,5338448,140.23M
10,11,XHLD,"TEN Holdings, Inc.",40.49%,1.1,4809443,31.56M
11,12,QNRX,"Quoin Pharmaceuticals, Ltd.",34.26%,0.284,203581859,5.85M
12,13,TCRT,"Alaunos Therapeutics, Inc.",33.80%,2.89,13162932,4.63M
13,14,ALMS,Alumis Inc.,30.25%,9.43,2520697,513.06M
14,15,ZYBT,Zhengye Biotechnology Holding Limited,29.89%,6.91,1141773,327.47M
15,16,GNPX,"Genprex, Inc.",29.16%,0.297,25264383,2.53M
16,17,VMAR,Vision Marine Technologies Inc.,27.57%,5.61,1875275,5.48M
17,18,CRVO,CervoMed Inc.,27.40%,12.71,2192343,110.65M
18,19,BHAT,Blue Hat Interactive Entertainment Technology,27.35%,2.165,602441,10.69M
19,20,TIVC,"Tivic Health Systems, Inc.",26.79%,3.195,856930,1.98M
