,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,IBG,Innovation Beverage Group Limited,216.82%,1.569,152088315,13.09M
1,2,DGLY,"Digital Ally, Inc.",206.92%,0.0798,805286420,6.32M
2,3,CNTM,"ConnectM Technology Solutions, Inc.",96.53%,0.973,100769455,20.55M
3,4,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
4,5,SPWH,"Sportsman's Warehouse Holdings, Inc.",77.72%,1.715,42213945,65.10M
5,6,TTEC,"TTEC Holdings, Inc.",55.05%,5.07,5880521,242.13M
6,7,ALLK,Allakos Inc.,46.96%,0.319,10728480,28.49M
7,8,QNRX,"Quoin Pharmaceuticals, Ltd.",43.67%,0.304,175495368,6.26M
8,9,SBFM,"Sunshine Biopharma, Inc.",40.14%,2.915,51800184,5.83M
9,10,VMAR,Vision Marine Technologies Inc.,40.01%,6.15,100789,6.02M
10,11,FAAS,DigiAsia Corp.,32.99%,0.308,1136568,18.01M
11,12,GNPX,"Genprex, Inc.",27.29%,0.293,969981,2.49M
12,13,AGMH,AGM Group Holdings Inc.,27.00%,0.0548,71021343,1.33M
13,14,CRVO,CervoMed Inc.,26.25%,12.6,1014481,109.65M
14,15,DMN,Damon Inc.,25.83%,0.0151,375604740,2.39M
15,16,PHGE,BiomX Inc.,24.62%,0.614,47613,15.34M
16,17,BRIA,Brillia Inc,23.50%,2.47,108,75.64M
17,18,CGNT,Cognyte Software Ltd.,20.38%,9.9,824188,712.44M
18,19,YOSH,Yoshiharu Global Co.,20.20%,17.66,25107,25.29M
19,20,STSS,"Sharps Technology, Inc.",19.78%,0.0327,103719009,362.25K
