,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",235.14%,4.759,48978906,468.36K
1,2,APVO,Aptevo Therapeutics Inc.,177.95%,2.774,10257788,4.05M
2,3,IBG,Innovation Beverage Group Limited,106.86%,1.019,200400615,8.50M
3,4,SPWH,"Sportsman's Warehouse Holdings, Inc.",102.59%,1.955,95060289,74.49M
4,5,TOPW,Top Win International Limited,91.25%,7.65,3055316,190.21M
5,6,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
6,7,DGLY,"Digital Ally, Inc.",71.15%,0.0445,1153023161,3.53M
7,8,TTEC,"TTEC Holdings, Inc.",60.24%,5.24,14901609,250.25M
8,9,CNTM,"ConnectM Technology Solutions, Inc.",50.75%,0.746,138206031,15.76M
9,10,ALLK,Allakos Inc.,48.25%,0.322,18665545,28.74M
10,11,TCRT,"Alaunos Therapeutics, Inc.",42.13%,3.07,12749469,4.92M
11,12,XHLD,"TEN Holdings, Inc.",37.92%,1.08,4474965,30.99M
12,13,GNPX,"Genprex, Inc.",37.46%,0.316,24361446,2.69M
13,14,VMAR,Vision Marine Technologies Inc.,35.88%,5.97,1808019,5.84M
14,15,QNRX,"Quoin Pharmaceuticals, Ltd.",32.84%,0.281,201790123,5.79M
15,16,SCLX,Scilex Holding Company,32.55%,0.315,2462834,57.69M
16,17,SBEV,"Splash Beverage Group, Inc.",30.35%,1.92,13787,2.96M
17,18,AGMH,AGM Group Holdings Inc.,26.54%,0.0546,89929244,1.32M
18,19,ALMS,Alumis Inc.,25.90%,9.12,2383764,495.92M
19,20,PHGE,BiomX Inc.,25.76%,0.62,78923,15.48M
