,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",262.68%,5.15,15373267,506.84K
1,2,IBG,Innovation Beverage Group Limited,138.43%,1.175,183697796,9.80M
2,3,SPWH,"Sportsman's Warehouse Holdings, Inc.",86.01%,1.795,85749869,68.13M
3,4,DGLY,"Digital Ally, Inc.",85.77%,0.0483,1071660345,3.83M
4,5,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
5,6,CNTM,"ConnectM Technology Solutions, Inc.",74.51%,0.864,129882517,18.25M
6,7,TTEC,"TTEC Holdings, Inc.",63.91%,5.36,12356941,255.98M
7,8,ALLK,Allakos Inc.,48.53%,0.322,16450741,28.80M
8,9,VMAR,Vision Marine Technologies Inc.,39.75%,6.14,1485550,6.00M
9,10,SBFM,"Sunshine Biopharma, Inc.",38.51%,2.881,57847412,5.76M
10,11,GNPX,"Genprex, Inc.",34.38%,0.309,20084000,2.63M
11,12,ICON,Icon Energy Corp.,32.60%,2.374,450323,1.71M
12,13,TCRT,"Alaunos Therapeutics, Inc.",31.48%,2.84,8827821,4.55M
13,14,TIVC,"Tivic Health Systems, Inc.",31.35%,3.31,92751,2.05M
14,15,SCLX,Scilex Holding Company,28.38%,0.305,1188188,55.87M
15,16,QNRX,"Quoin Pharmaceuticals, Ltd.",27.55%,0.27,193978543,5.56M
16,17,AGMH,AGM Group Holdings Inc.,24.45%,0.0537,86823313,1.30M
17,18,XHLD,"TEN Holdings, Inc.",23.27%,0.965,1279056,27.69M
18,19,SBEV,"Splash Beverage Group, Inc.",21.52%,1.79,2442,2.76M
19,20,MSPR,"MSP Recovery, Inc.",21.31%,1.48,91650,10.47M
