,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,AREB,"American Rebel Holdings, Inc.",414.08%,7.3,39982589,718.44K
1,2,TOPW,Top Win International Limited,175.00%,11.0,1425272,273.50M
2,3,IBG,Innovation Beverage Group Limited,125.06%,1.109,195303408,9.25M
3,4,SPWH,"Sportsman's Warehouse Holdings, Inc.",93.26%,1.865,90832142,70.79M
4,5,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
5,6,DGLY,"Digital Ally, Inc.",76.15%,0.0458,1129275086,3.63M
6,7,CNTM,"ConnectM Technology Solutions, Inc.",67.68%,0.83,135227934,17.53M
7,8,TTEC,"TTEC Holdings, Inc.",59.63%,5.22,13918521,249.30M
8,9,ALLK,Allakos Inc.,48.06%,0.321,17819359,28.71M
9,10,GNPX,"Genprex, Inc.",41.20%,0.325,22641192,2.76M
10,11,TCRT,"Alaunos Therapeutics, Inc.",40.74%,3.04,11686411,4.87M
11,12,ICON,Icon Energy Corp.,37.44%,2.46,1009904,1.78M
12,13,XHLD,"TEN Holdings, Inc.",33.90%,1.048,3015135,30.08M
13,14,VMAR,Vision Marine Technologies Inc.,33.82%,5.88,1698294,5.75M
14,15,SCLX,Scilex Holding Company,33.68%,0.318,2189492,58.18M
15,16,SBEV,"Splash Beverage Group, Inc.",31.03%,1.93,12876,2.98M
16,17,SBFM,"Sunshine Biopharma, Inc.",29.33%,2.69,60290453,5.38M
17,18,ALMS,Alumis Inc.,28.87%,9.33,2200890,507.62M
18,19,QNRX,"Quoin Pharmaceuticals, Ltd.",27.41%,0.27,198923728,5.55M
19,20,ONFO,"Onfolio Holdings, Inc.",26.47%,0.86,250635,4.41M
