,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,DGLY,"Digital Ally, Inc.",133.46%,0.0609,-,4.83M
1,2,IBG,Innovation Beverage Group Limited,130.32%,1.14,-,9.51M
2,3,SPWH,"Sportsman's Warehouse Holdings, Inc.",107.25%,2.01,-,76.29M
3,4,CNTM,"ConnectM Technology Solutions, Inc.",96.73%,1.01,-,21.34M
4,5,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
5,6,VMAR,Vision Marine Technologies Inc.,66.37%,7.78,-,7.61M
6,7,TTEC,"TTEC Holdings, Inc.",54.13%,5.05,-,241.18M
7,8,ALLK,Allakos Inc.,47.42%,0.32,14793244,28.58M
8,9,SBFM,"Sunshine Biopharma, Inc.",46.63%,3.065,-,6.13M
9,10,GNPX,"Genprex, Inc.",44.02%,0.328,-,2.79M
10,11,ALMS,Alumis Inc.,32.53%,9.65,-,525.03M
11,12,QNRX,"Quoin Pharmaceuticals, Ltd.",31.99%,0.279,-,5.75M
12,13,AREB,"American Rebel Holdings, Inc.",30.28%,1.62,-,159.42K
13,14,AGMH,AGM Group Holdings Inc.,28.16%,0.0537,-,1.30M
14,15,SCLX,Scilex Holding Company,24.63%,0.296,895927,54.24M
15,16,TCRT,"Alaunos Therapeutics, Inc.",21.76%,2.62,-,4.20M
16,17,BHAT,Blue Hat Interactive Entertainment Technology,21.18%,2.06,256248,10.17M
17,18,DMN,Damon Inc.,20.83%,0.0144,-,2.28M
18,19,MSPR,"MSP Recovery, Inc.",20.71%,1.473,78471,10.42M
19,20,LPTX,"Leap Therapeutics, Inc.",19.81%,0.339,-,13.99M
