,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,IBG,Innovation Beverage Group Limited,205.49%,1.55,-,12.93M
1,2,DGLY,"Digital Ally, Inc.",185.00%,0.0714,-,5.66M
2,3,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
3,4,QNRX,"Quoin Pharmaceuticals, Ltd.",81.01%,0.353,-,7.27M
4,5,CNTM,"ConnectM Technology Solutions, Inc.",68.71%,0.88,198602,18.59M
5,6,SATX,Satixfy Communications Ltd.,64.17%,1.97,18169400,167.08M
6,7,SBFM,"Sunshine Biopharma, Inc.",49.76%,3.388,-,6.77M
7,8,SPWH,"Sportsman's Warehouse Holdings, Inc.",46.74%,1.43,-,54.28M
8,9,YCBD,"cbdMD, Inc.",44.78%,0.333,14103700,2.09M
9,10,ALLK,Allakos Inc.,44.29%,0.315,200,28.13M
10,11,TTEC,"TTEC Holdings, Inc.",33.33%,4.28,-,204.40M
11,12,LSE,"Leishen Energy Holding Co., Ltd.",32.81%,5.95,208820,101.30M
12,13,NXU,"Nxu, Inc.",29.59%,3.46,753823,7.66M
13,14,GCTK,"GlucoTrack, Inc.",28.94%,0.225,12066113,2.34M
14,15,PTIX,"Protagenic Therapeutics, Inc.",28.14%,0.25,635735,1.70M
15,16,ADAP,Adaptimmune Therapeutics plc,26.90%,0.25,5891115,64.31M
16,17,LXEH,"Lixiang Education Holding Co., Ltd.",26.61%,24.53,181313,470.06M
17,18,LNZA,"LanzaTech Global, Inc.",26.31%,0.306,6576813,60.48M
18,19,TNFA,"TNF Pharmaceuticals, Inc.",26.26%,0.442,7339418,1.22M
19,20,ABVC,"ABVC BioPharma, Inc.",24.53%,1.32,2014380,16.16M
