,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,IBG,Innovation Beverage Group Limited,156.46%,1.27,167662711,10.59M
1,2,DGLY,"Digital Ally, Inc.",139.23%,0.0622,939945190,4.93M
2,3,VMAR,Vision Marine Technologies Inc.,109.16%,9.19,570492,8.99M
3,4,CNTM,"ConnectM Technology Solutions, Inc.",106.18%,1.021,111917241,21.56M
4,5,SPWH,"Sportsman's Warehouse Holdings, Inc.",86.63%,1.801,55898888,68.36M
5,6,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
6,7,GNPX,"Genprex, Inc.",51.80%,0.349,6090083,2.97M
7,8,TTEC,"TTEC Holdings, Inc.",49.87%,4.901,9325261,234.05M
8,9,ALLK,Allakos Inc.,47.05%,0.319,12592402,28.51M
9,10,SBFM,"Sunshine Biopharma, Inc.",46.16%,3.04,54443744,6.08M
10,11,QNRX,"Quoin Pharmaceuticals, Ltd.",37.57%,0.291,186858016,5.99M
11,12,AGMH,AGM Group Holdings Inc.,25.61%,0.0542,81831258,1.31M
12,13,CRVO,CervoMed Inc.,24.85%,12.46,1435549,108.44M
13,14,BRIA,Brillia Inc,23.50%,2.47,108,75.64M
14,15,FAAS,DigiAsia Corp.,22.50%,0.284,1324822,16.59M
15,16,LPTX,"Leap Therapeutics, Inc.",21.90%,0.355,1470599,14.65M
16,17,PHGE,BiomX Inc.,20.59%,0.595,59083,14.84M
17,18,XHLD,"TEN Holdings, Inc.",20.01%,0.94,810871,26.96M
18,19,CGNT,Cognyte Software Ltd.,19.83%,9.85,987588,709.20M
19,20,SLN,Silence Therapeutics plc,19.63%,2.895,102018,136.72M
