,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,RSLS,ReShape Lifesciences Inc.,341.05%,1.59,242765478,5.26M
1,2,BIAF,"bioAffinity Technologies, Inc.",319.23%,1.09,484655730,16.99M
2,3,NMAX,Newsmax Inc.,225.71%,232.0,11115645,29.79B
3,4,ICCT,iCoreConnect Inc.,110.71%,4.72,207566366,6.58M
4,5,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
5,6,SATX,Satixfy Communications Ltd.,65.00%,1.98,670116,167.93M
6,7,QSG,QuantaSing Group Limited,63.68%,6.58,10186561,336.32M
7,8,NUTX,Nutex Health Inc.,51.82%,71.4,312324,388.20M
8,9,TCRT,"Alaunos Therapeutics, Inc.",46.94%,2.16,5302453,3.46M
9,10,YCBD,"cbdMD, Inc.",43.43%,0.33,1210859,2.07M
10,11,CRWV,"CoreWeave, Inc.",41.77%,52.57,36319047,24.40B
11,12,SONM,"Sonim Technologies, Inc.",38.32%,2.96,1407329,14.42M
12,13,LSE,"Leishen Energy Holding Co., Ltd.",32.81%,5.95,208134,101.30M
13,14,MVST,"Microvast Holdings, Inc.",32.48%,1.55,41452953,499.30M
14,15,VERU,Veru Inc.,30.54%,0.64,14953435,93.66M
15,16,NXU,"Nxu, Inc.",29.59%,3.46,752120,7.66M
16,17,GCTK,"GlucoTrack, Inc.",28.94%,0.225,6149669,2.34M
17,18,EQ,"Equillium, Inc.",28.42%,0.504,270793,17.94M
18,19,PTIX,"Protagenic Therapeutics, Inc.",28.14%,0.25,618488,1.70M
19,20,TOPP,Toppoint Holdings Inc.,28.03%,1.69,431044,29.58M
