,Unnamed: 0,Volume,Last,Chg,% Chg
86,Applied Materials Inc. (AMAT),104.5K,144.38,-1.28,-0.88
87,Fortinet Inc. (FTNT),62.2K,95.82,-0.85,-0.88
88,APA Corp. (APA),58.5K,20.94,-0.19,-0.9
89,Copart Inc. (CPRT),65.2K,56.69,-0.52,-0.91
90,Huntington Bancshares Inc. (HBAN),177.3K,14.81,-0.14,-0.94
91,IAMGOLD Corp. (IAG),95.7K,6.26,-0.06,-0.95
92,Host Hotels & Resorts Inc. (HST),57.8K,14.3,-0.14,-0.97
93,Vodafone Group PLC ADR (VOD),66.2K,9.18,-0.1,-1.02
94,Alphabet Inc. Cl C (GOOG),414.6K,157.17,-1.71,-1.08
95,iQIYI Inc. ADR (IQ),70.5K,2.2,-0.03,-1.12
96,Alphabet Inc. Cl A (GOOGL),543.1K,155.29,-1.77,-1.13
97,Newell Brands Inc. (NWL),82.2K,6.11,-0.07,-1.13
98,GSK PLC ADR (GSK),57.0K,37.44,-0.43,-1.14
99,DraftKings Inc. Cl A (DKNG),222.6K,32.81,-0.38,-1.14
