unnamed_0_1,unnamed_0,volume,last,chg,chg
90,huntington_bancshares_inc_hban_,177_3k,14.81,-0.14,-0.94
91,iamgold_corp_iag_,95_7k,6.26,-0.06,-0.95
92,host_hotels_resorts_inc_hst_,57_8k,14.3,-0.14,-0.97
93,vodafone_group_plc_adr_vod_,66_2k,9.18,-0.1,-1.02
94,alphabet_inc_cl_c_goog_,414_6k,157.17,-1.71,-1.08
95,iqiyi_inc_adr_iq_,70_5k,2.2,-0.03,-1.12
96,alphabet_inc_cl_a_googl_,543_1k,155.29,-1.77,-1.13
97,newell_brands_inc_nwl_,82_2k,6.11,-0.07,-1.13
98,gsk_plc_adr_gsk_,57_0k,37.44,-0.43,-1.14
99,draftkings_inc_cl_a_dkng_,222_6k,32.81,-0.38,-1.14
